省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
福建省,福州市,鼓楼区,福晶科技,福建福晶科技股份有限公司,电子电气组件与设备,34492,12576,36.50%,福晶科技(002222),福建省福州市鼓楼区软件大道89号福州软件园F区9号楼,福建省福州市鼓楼区软件大道89号福州软件园F区9号楼福晶科技园,www.castech.com,2008/3/19
福建省,福州市,鼓楼区,新华都,新华都购物广场股份有限公司,百货零售,507121,2844,0.60%,新华都(002264),福建省厦门市思明区香莲里28号莲花广场商业中心二层237-263单元,福建省福州市鼓楼区五四路162号新华都大厦北楼7层,www.nhd-mart.com,2008/7/31
福建省,福州市,鼓楼区,榕基软件,福建榕基软件股份有限公司,软件,45431,2337,5.10%,榕基软件(002474),福建省福州市鼓楼区铜盘路福州软件园产业基地,福建省福州市鼓楼区铜盘路福州软件园产业基地,www.rongji.com,2010/9/15
福建省,福州市,鼓楼区,富春股份,富春科技股份有限公司,移动通信服务,36294,8446,23.30%,富春股份(300299),福建省福州市鼓楼区铜盘路软件大道89号C区25号楼,福建省福州市鼓楼区铜盘路软件大道89号C区25号楼,www.forcom.com.cn,2012/3/19
福建省,福州市,鼓楼区,德艺文创,德艺文化创意集团股份有限公司,广播与娱乐,35381,3258,9.20%,德艺文创(300640),福建省福州市鼓楼区五四路158号环球广场1701单元,福建省福州市鼓楼区五四路158号环球广场1701单元,www.fz-profit.com,2017/4/17
福建省,福州市,鼓楼区,福建高速,福建发展高速公路股份有限公司,运输服务,184694,99874,54.10%,福建高速(600033),福建省福州市东水路18号交通综合大楼,福建省福州市东水路18号福建交通综合大楼26层,www.fjgs.com.cn,2001/2/9
福建省,福州市,鼓楼区,冠城大通,冠城大通股份有限公司,不动产投资开发,483568,94012,19.40%,冠城大通(600067),福建省福州市开发区快安延伸区创新楼,福建省福州市五一北路153号正祥商务中心2#楼8-10层,www.gcdt.net,1997/5/8
福建省,福州市,鼓楼区,中闽能源,中闽能源股份有限公司,电力（IV）,28310,10331,36.50%,中闽能源(600163),福建省南平市延平区滨江北路177号,福建省福州市鼓楼区五四路国际大厦二十二层A、B、C座,www.nanping-paper.com,1998/6/2
福建省,福州市,鼓楼区,福日电子,福建福日电子股份有限公司,消费电子产品,604610,7306,1.20%,福日电子(600203),福建省福州市开发区科技园区快安大道创新楼,福建省福州市鼓楼区五一北路153号正祥商务中心2号楼12、13层,www.furielec.com,1999/5/14
福建省,福州市,鼓楼区,东百集团,福建东百集团股份有限公司,百货零售,267681,24921,9.30%,东百集团(600693),福建省福州市八一七北路84号,福建省福州市八一七北路84号东百大厦18层,www.dongbai.com,1993/11/22
